"Name_std" "mass"
"Calliteara pudibunda" 0.0503651918113256
"Callopistria juventina" 0.0446037432697434
"Callopistria latreillei" 0.0299668252632732
"Calophasia lunula" 0.0320877940786074
"Calophasia platyptera" 0.0299668252632732
"Calyptra thalictri" 0.0391010234265281
"Campaea margaritaria" 0.0280381809229818
"Camptogramma bilineata" 0.007022721856594
"Camptogramma scripturata" 0.00615815493079236
"Caradrina aspersa" 0.0325194809627761
"Caradrina clavipalpis" 0.0351616720634722
"Caradrina flavirena" 0.0351616720634722
"Caradrina gilva" 0.0378924450062069
"Caradrina kadenii" 0.031658598722312
"Caradrina montana" 0.0299668252632732
"Caradrina morpheus" 0.0426381486857565
"Caradrina selini" 0.0299668252632732
"Caradrina terrea" 0.0360621328837277
"Caradrina wullschlegeli" 0.0267043141463583
"Carsia sororiata" 0.00615815493079236
"Cataclysme riguata" 0.00440270561066726
"Catarhoe cuculata" 0.00672682497679267
"Catarhoe rubidata" 0.007022721856594
"Catephia alchymista" 0.0340918792913807
"Catocala coniuncta" 0.0781487343866634
"Catocala dilecta" 0.173866738362026
"Catocala electa" 0.134037198554911
"Catocala elocata" 0.147395971116804
"Catocala fraxini" 0.222888330052339
"Catocala fulminea" 0.0528227722998977
"Catocala nupta" 0.134037198554911
"Catocala nymphaea" 0.0705226307964403
"Catocala nymphagoga" 0.0322012622172585
"Catocala promissa" 0.0913283135712104
"Catocala puerpera" 0.0592729602934864
"Catocala sponsa" 0.123474848049715
"Cepphis advenaria" 0.00732642491648935
"Ceramica pisi" 0.0456008448405359
"Cerapteryx graminis" 0.0392907655097871
"Cerastis leucographa" 0.0446037432697434
"Cerastis rubricosa" 0.0426381486857565
"Cerura erminea" 0.197045564068105
"Cerura vinula" 0.262528378853575
"Charanyca trigrammica" 0.0446037432697434
"Charissa ambiguata" 0.00967699057636693
"Charissa glaucinaria" 0.0116058320493016
"Charissa italohelveticus" 0.0112028984697103
"Charissa obscurata" 0.00896457131311068
"Charissa pullata" 0.0124379211084105
"Charissa variegata" 0.007022721856594
"Chelis simplonica" 0.0160539464109149
"Chersotis alpestris" 0.0351616720634722
"Chersotis andereggii" 0.0342710532584822
"Chersotis cuprea" 0.0426381486857565
"Chersotis fimbriola" 0.0351616720634722
"Chersotis margaritacea" 0.0456008448405359
"Chersotis multangula" 0.0388222300021049
"Chersotis ocellina" 0.0275047138806665
"Chersotis oreina" 0.0378924450062069
"Chersotis rectangula" 0.0388222300021049
"Chesias legatella" 0.0116058320493016
"Chesias rufata" 0.00862075199684945
"Chiasmia clathrata" 0.007022721856594
"Chilodes maritima" 0.036972401678864
"Chloantha hyperici" 0.0360621328837277
"Chlorissa cloraria" 0.00336166172754934
"Chlorissa viridata" 0.00440270561066726
"Chloroclysta miata" 0.0124379211084105
"Chloroclysta siterata" 0.00931662747599378
"Chloroclystis v-ata" 0.00264879081358732
"Chrysodeixis chalcites" 0.0496839457229403
"Cidaria fulvata" 0.0053618389467158
"Cilix glaucata" 0.010166907594504
"Cirrhia gilvago" 0.0446037432697434
"Cirrhia icteritia" 0.0392907655097871
"Cirrhia ocellaris" 0.0446037432697434
"Clemathada calberlai" 0.0221180460409823
"Cleora cinctaria" 0.0156325274529272
"Cleorodes lichenaria" 0.00931662747599378
"Clostera anachoreta" 0.0296541290320533
"Clostera anastomosis" 0.0379894589811264
"Clostera curtula" 0.0271767036133986
"Clostera pigra" 0.0205861260394962
"Coenotephria ablutaria" 0.00672682497679267
"Coenotephria salicata" 0.00732642491648935
"Coenotephria tophaceata" 0.00795754120965203
"Colobochyla salicalis" 0.0131504621858748
"Colocasia coryli" 0.0360621328837277
"Colostygia aptata" 0.00486786950220859
"Colostygia aqueata" 0.00672682497679267
"Colostygia kollariaria" 0.0192831882262691
"Colostygia laetaria" 0.00828509897218446
"Colostygia olivata" 0.00615815493079236
"Colostygia pectinataria" 0.00643866070670749
"Colostygia puengeleri" 0.0116058320493016
"Colostygia turbata" 0.00732642491648935
"Colotois pennaria" 0.0227916704559198
"Comibaena bajularia" 0.007022721856594
"Conistra erythrocephala" 0.0496839457229403
"Conistra ligula" 0.0407108963337271
"Conistra rubiginea" 0.0378924450062069
"Conistra rubiginosa" 0.0397617243640738
"Conistra torrida" 0.0436161681283483
"Conistra vaccinii" 0.0388222300021049
"Coscinia cribraria" 0.0252677555230243
"Cosmia affinis" 0.0360621328837277
"Cosmia pyralina" 0.0360621328837277
"Cosmia trapezina" 0.0342710532584822
"Cosmorhoe ocellata" 0.00615815493079236
"Cosmotriche lobulina" 0.0551560127138308
"Cossus cossus" 0.34456860746071
"Costaconvexa polygrammata" 0.00486786950220859
"Craniophora ligustri" 0.0407108963337271
"Crocallis elinguaria" 0.0171399781999375
"Crocallis tusciaria" 0.0137526100919633
"Cryphia algae" 0.028315292460965
"Cryphia ochsi" 0.0206727004321557
"Cryphia simulatricula" 0.0267043141463583
"Crypsedra gemmea" 0.0481350888950989
"Cucullia absinthii" 0.0496839457229403
"Cucullia artemisiae" 0.0517819260825421
"Cucullia asteris" 0.0675020073627308
"Cucullia campanulae" 0.061681931800524
"Cucullia gnaphalii" 0.0549988349245568
"Cucullia lactucae" 0.0723202182356963
"Cucullia lucifuga" 0.0675020073627308
"Cucullia lychnitis" 0.0582990577264813
"Cucullia prenanthis" 0.052844929875311
"Cucullia santonici" 0.0571897678184938
"Cucullia scrophulariae" 0.061681931800524
"Cucullia thapsiphaga" 0.0594175308930541
