"Name_std" "overwintering_stage"
"Litoligia literosa" "larva"
"Luperina dumerilii" "larva"
"Luperina testacea" "larva"
"Luteohadena luteago" "pupa"
"Lycophotia porphyrea" "larva"
"Macdunnoughia confusa" "larva"
"Mamestra brassicae" "pupa"
"Melanchra persicariae" "pupa"
"Mesapamea secalis aggr." "larva"
"Mesogona acetosellae" "egg"
"Mesogona oxalina" "egg"
"Mesoligia furuncula" "larva"
"Mniotype adusta" "larva"
"Mniotype satura" "egg"
"Mniotype solieri" "larva"
"Moma alpium" "pupa"
"Mormo maura" "larva"
"Mythimna albipuncta" "larva"
"Mythimna anderreggii" "pupa"
"Mythimna congrua" "larva"
"Mythimna conigera" "larva"
"Mythimna ferrago" "larva"
"Mythimna impura" "larva"
"Mythimna l-album" "larva"
"Mythimna pallens" "larva"
"Mythimna pudorina" "larva"
"Mythimna riparia" "larva"
"Mythimna sicula" "larva"
"Mythimna straminea" "larva"
"Mythimna turca" "larva"
"Mythimna unipuncta" "larva"
"Mythimna vitellina" "larva"
"Naenia typica" "larva"
"Noctua comes" "larva"
"Noctua fimbriata" "larva"
"Noctua interjecta" "larva"
"Noctua interposita" "larva"
"Noctua janthe/janthina aggr." "larva"
"Noctua orbona" "larva"
"Noctua pronuba" "larva"
"Noctua tirrenica" "larva"
"Nonagria typhae" "egg"
"Ochropleura plecta" "pupa"
"Oligia dubia" "larva"
"Oligia latruncula" "larva"
"Oligia strigilis" "larva"
"Oligia versicolor" "larva"
"Opigena polygona" "larva"
"Orbona fragariae" "adult"
"Orthosia cerasi" "pupa"
"Orthosia cruda" "pupa"
"Orthosia gothica" "pupa"
"Orthosia gracilis" "pupa"
"Orthosia incerta" "pupa"
"Orthosia miniosa" "pupa"
"Orthosia opima" "pupa"
"Orthosia populeti" "pupa"
"Pachetra sagittigera" "larva"
"Panchrysia deaurata" "larva"
"Panchrysia v-argenteum" "larva"
"Panemeria tenebrata" "pupa"
"Panolis flammea" "pupa"
"Panthea coenobita" "pupa"
"Papestra biren" "pupa"
"Paradiarsia punicea" "larva"
"Parastichtis suspecta" "egg"
"Peridroma saucia" "larva"
"Phlogophora meticulosa" "larva"
"Phlogophora scita" "larva"
"Photedes captiuncula" "larva"
"Photedes fluxa" "larva"
"Photedes minima" "larva"
"Photedes morrisii" "larva"
"Phragmatiphila nexa" "egg/larva"
"Phyllophila obliterata" "pupa"
"Plusia festucae" "larva"
"Polia bombycina" "larva"
"Polia hepatica" "larva"
"Polia nebulosa" "larva"
"Polia serratilinea" "larva"
"Polychrysia moneta" "larva"
"Polymixis rufocincta" "egg"
"Polymixis xanthomista" "egg"
"Polyphaenis sericata" "larva"
"Protolampra sobrina" "larva"
"Pseudeustrotia candidula" "pupa"
"Pyrrhia umbra" "pupa"
"Rhizedra lutosa" "egg"
"Rhyacia helvetina" "larva"
"Rhyacia lucipeta" "larva"
"Rhyacia simulans" "larva"
"Rusina ferruginea" "larva"
"Sedina buettneri" "egg"
"Sideridis kitti" "pupa"
"Sideridis lampra" "larva"
"Sideridis reticulata" "pupa"
"Sideridis rivularis" "pupa"
"Sideridis turbida" "pupa"
"Spaelotis ravida" "larva"
"Spaelotis senna" "larva"
"Spodoptera exigua" "larva"
"Standfussiana lucernea" "larva"
"Standfussiana wiskotti" "larva"
"Staurophora celsia" "egg"
"Sunira circellaris" "egg"
"Syngrapha ain" "larva"
"Syngrapha hochenwarthi" "larva"
"Syngrapha interrogationis" "larva"
"Thalpophila matura" "larva"
"Tholera cespitis" "larva"
"Tholera decimalis" "egg"
"Tiliacea aurago" "egg"
"Tiliacea citrago" "egg"
"Trachea atriplicis" "pupa"
"Trichoplusia ni" "larva"
"Trigonophora flammea" "larva"
"Tyta luctuosa" "pupa"
"Xanthia togata" "egg"
"Xestia alpicola" "larva"
"Xestia ashworthii" "larva"
"Xestia baja" "larva"
"Xestia c-nigrum" "larva"
"Xestia castanea" "larva"
"Xestia collina" "larva"
"Xestia ditrapezium" "larva"
"Xestia lorezi" "larva"
"Xestia ochreago" "larva"
"Xestia rhaetica" "larva"
"Xestia sexstrigata" "larva"
"Xestia speciosa" "larva"
"Xestia stigmatica" "larva"
"Xestia triangulum" "larva"
"Xestia xanthographa" "larva"
"Xylena exsoleta" "adult"
"Xylena solidaginis" "egg"
"Xylena vetusta" "adult"
"Xylocampa areola" "pupa"
"Bena bicolorana" "larva"
"Earias biplaga" NA
"Earias clorana" "pupa"
"Earias vernana" "pupa"
"Meganola albula" "larva"
"Meganola strigula" "larva"
"Meganola togatulalis" "larva"
"Nola aerugula" "larva"
"Nola confusalis" "pupa"
"Nola cucullatella" "larva"
"Nola subchlamydula" "pupa"
"Nycteola asiatica" "adult"
"Nycteola degenerana" "adult"
"Nycteola revayana" "adult"
"Nycteola siculana" "adult"
"Pseudoips prasinana" "pupa"
"Cerura erminea" "pupa"
"Cerura vinula" "pupa"
"Clostera anachoreta" "pupa"
"Clostera anastomosis" "larva"
"Clostera curtula" "pupa"
"Clostera pigra" "pupa"
"Drymonia dodonaea" "pupa"
"Drymonia obliterata" "pupa"
"Drymonia querna" "pupa"
"Drymonia ruficornis" "pupa"
"Drymonia velitaris" "pupa"
"Furcula bicuspis" "pupa"
"Furcula bifida" "pupa"
"Furcula furcula" "pupa"
"Gluphisia crenata" "pupa"
"Harpyia milhauseri" "pupa"
"Leucodonta bicoloria" "pupa"
"Notodonta dromedarius" "pupa"
"Notodonta tritophus" "pupa"
"Notodonta ziczac" "pupa"
"Odontosia carmelita" "pupa"
"Peridea anceps" "pupa"
"Phalera bucephala" "pupa"
"Pheosia gnoma" "pupa"
"Pheosia tremula" "pupa"
"Pterostoma palpina" "pupa"
"Ptilodon capucina" "pupa"
"Ptilodon cucullina" "pupa"
"Ptilophora plumigera" "egg"
"Spatalia argentina" "pupa"
"Stauropus fagi" "pupa"
"Thaumetopoea pityocampa" "larva"
"Thaumetopoea processionea" "egg"
"Aglia tau" "pupa"
"Saturnia pavonia" "pupa"
"Saturnia pavoniella" "pupa"
"Saturnia pyri" "pupa"
"Acherontia atropos" "pupa"
"Agrius convolvuli" "pupa"
"Deilephila elpenor" "pupa"
"Deilephila porcellus" "pupa"
"Hyles euphorbiae" "pupa"
"Hyles gallii" "pupa"
"Hyles livornica" "pupa"
"Hyles vespertilio" "pupa"
"Laothoe populi" "pupa"
"Mimas tiliae" "pupa"
"Proserpinus proserpina" "pupa"
"Smerinthus ocellata" "pupa"
"Sphinx ligustri" "pupa"
"Sphinx pinastri" "pupa"
