"Name_std" "overwintering_stage"
"Colostygia kollariaria" "larva"
"Colostygia laetaria" "larva"
"Colostygia olivata" "larva"
"Colostygia pectinataria" "larva"
"Colostygia puengeleri" NA
"Colostygia turbata" "larva"
"Colotois pennaria" "egg"
"Comibaena bajularia" "larva"
"Cosmorhoe ocellata" "larva"
"Costaconvexa polygrammata" "pupa"
"Crocallis elinguaria" "larva"
"Crocallis tusciaria" "egg"
"Cyclophora albiocellaria" "pupa"
"Cyclophora albipunctata" "pupa"
"Cyclophora annularia" "pupa"
"Cyclophora linearia" "pupa"
"Cyclophora pendularia" "pupa"
"Cyclophora porata" "pupa"
"Cyclophora punctaria" "pupa"
"Cyclophora puppillaria" "pupa"
"Cyclophora quercimontaria" "pupa"
"Cyclophora ruficiliaria" "pupa"
"Cyclophora suppunctaria" "pupa"
"Deileptenia ribeata" "larva"
"Dysstroma citrata" "egg"
"Dysstroma truncata" "larva"
"Earophila badiata" "pupa"
"Ecliptopera capitata" "pupa"
"Ecliptopera silaceata" "pupa"
"Ectropis crepuscularia" "pupa"
"Electrophaes corylata" "pupa"
"Elophos caelibaria" "larva"
"Elophos operaria" "larva"
"Ematurga atomaria" "pupa"
"Emmiltis pygmaearia" "larva"
"Ennomos alniaria" "egg"
"Ennomos erosaria" "egg"
"Ennomos fuscantaria" "egg"
"Ennomos quercaria" "egg"
"Ennomos quercinaria" "egg"
"Entephria caesiata" "larva"
"Entephria cyanata" "larva"
"Entephria flavata" "larva"
"Entephria flavicinctata" "larva"
"Entephria infidaria" "larva"
"Entephria nobiliaria" "larva"
"Epilobophora sabinata" "larva"
"Epione repandaria" "egg"
"Epione vespertaria" "egg"
"Epirrhoe alternata" "pupa"
"Epirrhoe galiata" "pupa"
"Epirrhoe molluginata" "pupa"
"Epirrhoe rivata" "pupa"
"Epirrhoe tristata" "pupa"
"Epirrita autumnata" "egg"
"Epirrita christyi" "egg"
"Epirrita dilutata" "egg"
"Erannis defoliaria" "egg"
"Euchoeca nebulata" "pupa"
"Eulithis mellinata" "egg"
"Eulithis populata" "egg"
"Eulithis prunata" "egg"
"Eulithis testata" "egg"
"Euphyia biangulata" "pupa"
"Euphyia frustata" "larva/pupa"
"Euphyia unangulata" "pupa"
"Eupithecia abbreviata" "pupa"
"Eupithecia abietaria" "pupa"
"Eupithecia absinthiata" "pupa"
"Eupithecia actaeata" "pupa"
"Eupithecia analoga" "pupa"
"Eupithecia assimilata" "pupa"
"Eupithecia carpophagata" "pupa"
"Eupithecia cauchiata" "pupa"
"Eupithecia centaureata" "pupa"
"Eupithecia conterminata" "pupa"
"Eupithecia cretaceata" "pupa"
"Eupithecia denotata" "pupa"
"Eupithecia denticulata" "pupa"
"Eupithecia distinctaria" "pupa"
"Eupithecia dodoneata" "pupa"
"Eupithecia egenaria" "pupa"
"Eupithecia ericeata" "egg"
"Eupithecia exiguata" "pupa"
"Eupithecia expallidata" "pupa"
"Eupithecia extraversaria" "pupa"
"Eupithecia gemellata" "pupa"
"Eupithecia graphata" "pupa"
"Eupithecia gueneata" "pupa"
"Eupithecia haworthiata" "pupa"
"Eupithecia icterata" "pupa"
"Eupithecia immundata" "pupa"
"Eupithecia impurata" "pupa"
"Eupithecia indigata" "pupa"
"Eupithecia innotata" "pupa"
"Eupithecia insigniata" "pupa"
"Eupithecia intricata" "pupa"
"Eupithecia inturbata" "egg"
"Eupithecia irriguata" "pupa"
"Eupithecia lanceata" "pupa"
"Eupithecia laquaearia" "pupa"
"Eupithecia lariciata" "pupa"
"Eupithecia linariata" "pupa"
"Eupithecia nanata" "pupa"
"Eupithecia ochridata" "pupa"
"Eupithecia orphnata" "pupa"
"Eupithecia pernotata" "pupa"
"Eupithecia pimpinellata" "pupa"
"Eupithecia plumbeolata" "pupa"
"Eupithecia pusillata" "egg"
"Eupithecia pyreneata" "pupa"
"Eupithecia satyrata" "pupa"
"Eupithecia schiefereri" "pupa"
"Eupithecia selinata" "pupa"
"Eupithecia semigraphata" "pupa"
"Eupithecia silenata" "pupa"
"Eupithecia sinuosaria" "pupa"
"Eupithecia subfuscata" "pupa"
