"taxonID" "Name_std"
"infospecies.ch:infofauna:32110" "Archanara dissoluta"
"infospecies.ch:infofauna:32112" "Archanara neurica"
"infospecies.ch:infofauna:32910" "Arctia caja"
"infospecies.ch:infofauna:32913" "Arctia flavia"
"infospecies.ch:infofauna:32951" "Arctia matronula"
"infospecies.ch:infofauna:32942" "Arctia testudinaria"
"infospecies.ch:infofauna:32914" "Arctia villica"
"infospecies.ch:infofauna:32810" "Arctornis l-nigrum"
"infospecies.ch:infofauna:31331" "Arichanna melanaria"
"infospecies.ch:infofauna:31332" "Ascotis selenaria"
"infospecies.ch:infofauna:31333" "Aspitates gilvaria"
"infospecies.ch:infofauna:32139" "Asteroscopus sphinx"
"infospecies.ch:infofauna:31334" "Asthena albulata"
"infospecies.ch:infofauna:31335" "Asthena anseraria"
"infospecies.ch:infofauna:32116" "Atethmia centrago"
"infospecies.ch:infofauna:32117" "Athetis gluteosa"
"infospecies.ch:infofauna:32118" "Athetis hospes"
"infospecies.ch:infofauna:32119" "Athetis pallustris"
"infospecies.ch:infofauna:32915" "Atolmis rubricollis"
"infospecies.ch:infofauna:32120" "Atypha pulmonaris"
"infospecies.ch:infofauna:32121" "Auchmis detersa"
"infospecies.ch:infofauna:32122" "Autographa aemula"
"infospecies.ch:infofauna:32123" "Autographa bractea"
"infospecies.ch:infofauna:32124" "Autographa gamma"
"infospecies.ch:infofauna:32125" "Autographa jota"
"infospecies.ch:infofauna:32126" "Autographa pulchrina"
"infospecies.ch:infofauna:32128" "Autophila dilucida"
"infospecies.ch:infofauna:32131" "Axylia putris"
"infospecies.ch:infofauna:32132" "Bena bicolorana"
"infospecies.ch:infofauna:31337" "Biston betularia"
"infospecies.ch:infofauna:31338" "Biston strataria"
"infospecies.ch:infofauna:32138" "Brachionycha nubeculosa"
"infospecies.ch:infofauna:32140" "Brachylomia viminalis"
"infospecies.ch:infofauna:32234" "Bryophila domestica"
"infospecies.ch:infofauna:32754" "Bryophila ereptricula"
"infospecies.ch:infofauna:32240" "Bryophila petricolor"
"infospecies.ch:infofauna:32241" "Bryophila raptricula"
"infospecies.ch:infofauna:32242" "Bryophila ravula"
"infospecies.ch:infofauna:32236" "Bryopsis muralis"
"infospecies.ch:infofauna:31340" "Bupalus piniaria"
"infospecies.ch:infofauna:31341" "Cabera exanthemata"
"infospecies.ch:infofauna:31342" "Cabera pusaria"
"infospecies.ch:infofauna:32143" "Calamia tridens"
"infospecies.ch:infofauna:32144" "Calliergis ramosa"
"infospecies.ch:infofauna:32916" "Callimorpha dominula"
"infospecies.ch:infofauna:32812" "Calliteara pudibunda"
"infospecies.ch:infofauna:32146" "Callopistria juventina"
"infospecies.ch:infofauna:32147" "Callopistria latreillei"
"infospecies.ch:infofauna:32150" "Calophasia lunula"
"infospecies.ch:infofauna:32152" "Calophasia platyptera"
"infospecies.ch:infofauna:32155" "Calyptra thalictri"
"infospecies.ch:infofauna:31344" "Campaea margaritaria"
"infospecies.ch:infofauna:31345" "Camptogramma bilineata"
"infospecies.ch:infofauna:31454" "Camptogramma scripturata"
"infospecies.ch:infofauna:32157" "Caradrina aspersa"
"infospecies.ch:infofauna:32159" "Caradrina clavipalpis"
"infospecies.ch:infofauna:32160" "Caradrina flavirena"
"infospecies.ch:infofauna:32163" "Caradrina gilva"
"infospecies.ch:infofauna:32165" "Caradrina kadenii"
"infospecies.ch:infofauna:32624" "Caradrina montana"
"infospecies.ch:infofauna:32166" "Caradrina morpheus"
"infospecies.ch:infofauna:90263" "Caradrina selini"
"infospecies.ch:infofauna:90264" "Caradrina selini"
"infospecies.ch:infofauna:32169" "Caradrina terrea"
"infospecies.ch:infofauna:32599" "Caradrina wullschlegeli"
"infospecies.ch:infofauna:31346" "Carsia sororiata"
"infospecies.ch:infofauna:31347" "Cataclysme riguata"
"infospecies.ch:infofauna:31348" "Catarhoe cuculata"
"infospecies.ch:infofauna:31349" "Catarhoe rubidata"
"infospecies.ch:infofauna:32171" "Catephia alchymista"
"infospecies.ch:infofauna:32172" "Catocala coniuncta"
"infospecies.ch:infofauna:32174" "Catocala dilecta"
"infospecies.ch:infofauna:32175" "Catocala electa"
"infospecies.ch:infofauna:32176" "Catocala elocata"
"infospecies.ch:infofauna:32177" "Catocala fraxini"
"infospecies.ch:infofauna:32315" "Catocala fulminea"
"infospecies.ch:infofauna:32178" "Catocala nupta"
"infospecies.ch:infofauna:32316" "Catocala nymphaea"
"infospecies.ch:infofauna:32179" "Catocala nymphagoga"
"infospecies.ch:infofauna:32181" "Catocala promissa"
"infospecies.ch:infofauna:32182" "Catocala puerpera"
"infospecies.ch:infofauna:32183" "Catocala sponsa"
"infospecies.ch:infofauna:31354" "Cepphis advenaria"
"infospecies.ch:infofauna:32486" "Ceramica pisi"
"infospecies.ch:infofauna:32186" "Cerapteryx graminis"
"infospecies.ch:infofauna:32188" "Cerastis leucographa"
"infospecies.ch:infofauna:32189" "Cerastis rubricosa"
"infospecies.ch:infofauna:31900" "Cerura erminea"
"infospecies.ch:infofauna:31901" "Cerura vinula"
"infospecies.ch:infofauna:32190" "Charanyca trigrammica"
"infospecies.ch:infofauna:31535" "Charissa ambiguata"
"infospecies.ch:infofauna:31537" "Charissa glaucinaria"
"infospecies.ch:infofauna:31386" "Charissa italohelveticus"
"infospecies.ch:infofauna:31540" "Charissa obscurata"
"infospecies.ch:infofauna:31541" "Charissa pullata"
"infospecies.ch:infofauna:31542" "Charissa variegata"
"infospecies.ch:infofauna:32918" "Chelis simplonica"
"infospecies.ch:infofauna:32191" "Chersotis alpestris"
"infospecies.ch:infofauna:32192" "Chersotis andereggii"
"infospecies.ch:infofauna:32194" "Chersotis cuprea"
"infospecies.ch:infofauna:32196" "Chersotis fimbriola"
"infospecies.ch:infofauna:32198" "Chersotis margaritacea"
"infospecies.ch:infofauna:32199" "Chersotis multangula"
"infospecies.ch:infofauna:32200" "Chersotis ocellina"
"infospecies.ch:infofauna:32201" "Chersotis oreina"
"infospecies.ch:infofauna:32202" "Chersotis rectangula"
"infospecies.ch:infofauna:31355" "Chesias legatella"
"infospecies.ch:infofauna:31356" "Chesias rufata"
"infospecies.ch:infofauna:31733" "Chiasmia clathrata"
"infospecies.ch:infofauna:32203" "Chilodes maritima"
"infospecies.ch:infofauna:32020" "Chloantha hyperici"
"infospecies.ch:infofauna:31359" "Chlorissa cloraria"
"infospecies.ch:infofauna:31361" "Chlorissa viridata"
"infospecies.ch:infofauna:31363" "Chloroclysta miata"
"infospecies.ch:infofauna:31364" "Chloroclysta siterata"
"infospecies.ch:infofauna:31367" "Chloroclystis v-ata"
"infospecies.ch:infofauna:32204" "Chrysodeixis chalcites"
"infospecies.ch:infofauna:31368" "Cidaria fulvata"
"infospecies.ch:infofauna:31280" "Cilix glaucata"
"infospecies.ch:infofauna:32721" "Cirrhia gilvago"
"infospecies.ch:infofauna:32722" "Cirrhia icteritia"
"infospecies.ch:infofauna:32723" "Cirrhia ocellaris"
"infospecies.ch:infofauna:32379" "Clemathada calberlai"
"infospecies.ch:infofauna:31369" "Cleora cinctaria"
"infospecies.ch:infofauna:31370" "Cleorodes lichenaria"
"infospecies.ch:infofauna:31902" "Clostera anachoreta"
"infospecies.ch:infofauna:31903" "Clostera anastomosis"
"infospecies.ch:infofauna:31904" "Clostera curtula"
"infospecies.ch:infofauna:31905" "Clostera pigra"
"infospecies.ch:infofauna:31779" "Coenotephria ablutaria"
"infospecies.ch:infofauna:31628" "Coenotephria salicata"
"infospecies.ch:infofauna:31629" "Coenotephria tophaceata"
"infospecies.ch:infofauna:32211" "Colobochyla salicalis"
"infospecies.ch:infofauna:32800" "Colocasia coryli"
"infospecies.ch:infofauna:31372" "Colostygia aptata"
"infospecies.ch:infofauna:31373" "Colostygia aqueata"
"infospecies.ch:infofauna:31375" "Colostygia kollariaria"
"infospecies.ch:infofauna:31376" "Colostygia laetaria"
"infospecies.ch:infofauna:31378" "Colostygia olivata"
"infospecies.ch:infofauna:31379" "Colostygia pectinataria"
"infospecies.ch:infofauna:31380" "Colostygia puengeleri"
"infospecies.ch:infofauna:31381" "Colostygia turbata"
"infospecies.ch:infofauna:31382" "Colotois pennaria"
"infospecies.ch:infofauna:31383" "Comibaena bajularia"
"infospecies.ch:infofauna:32216" "Conistra erythrocephala"
"infospecies.ch:infofauna:32218" "Conistra ligula"
"infospecies.ch:infofauna:32219" "Conistra rubiginea"
"infospecies.ch:infofauna:32220" "Conistra rubiginosa"
"infospecies.ch:infofauna:32222" "Conistra torrida"
"infospecies.ch:infofauna:32223" "Conistra vaccinii"
"infospecies.ch:infofauna:32919" "Coscinia cribraria"
"infospecies.ch:infofauna:32227" "Cosmia affinis"
"infospecies.ch:infofauna:32229" "Cosmia pyralina"
"infospecies.ch:infofauna:32230" "Cosmia trapezina"
"infospecies.ch:infofauna:31384" "Cosmorhoe ocellata"
"infospecies.ch:infofauna:30900" "Cosmotriche lobulina"
"infospecies.ch:infofauna:29430" "Cossus cossus"
"infospecies.ch:infofauna:31385" "Costaconvexa polygrammata"
"infospecies.ch:infofauna:32231" "Craniophora ligustri"
"infospecies.ch:infofauna:31387" "Crocallis elinguaria"
"infospecies.ch:infofauna:31388" "Crocallis tusciaria"
"infospecies.ch:infofauna:32233" "Cryphia algae"
"infospecies.ch:infofauna:32237" "Cryphia ochsi"
"infospecies.ch:infofauna:32244" "Cryphia simulatricula"
"infospecies.ch:infofauna:32636" "Crypsedra gemmea"
"infospecies.ch:infofauna:32247" "Cucullia absinthii"
"infospecies.ch:infofauna:32249" "Cucullia artemisiae"
"infospecies.ch:infofauna:32250" "Cucullia asteris"
"infospecies.ch:infofauna:32251" "Cucullia campanulae"
"infospecies.ch:infofauna:32257" "Cucullia gnaphalii"
"infospecies.ch:infofauna:32258" "Cucullia lactucae"
"infospecies.ch:infofauna:32259" "Cucullia lucifuga"
"infospecies.ch:infofauna:32260" "Cucullia lychnitis"
"infospecies.ch:infofauna:32261" "Cucullia prenanthis"
"infospecies.ch:infofauna:32263" "Cucullia santonici"
"infospecies.ch:infofauna:32264" "Cucullia scrophulariae"
"infospecies.ch:infofauna:32267" "Cucullia thapsiphaga"
"infospecies.ch:infofauna:32268" "Cucullia umbratica"
"infospecies.ch:infofauna:32269" "Cucullia verbasci"
"infospecies.ch:infofauna:32921" "Cybosia mesomella"
